project id,sequence id,Library prep ID ,herbarium,accession,genus,species,var,,collection year,extraction date,nanodrop concentration,260/280,shape,ITS gel success?,QUBIT value,qubit date,notes
20,,6,UC,1440550,Perityle,dissecta,,,1968,10/5/2016,10.9,1.41,good,yes,3.76,,
46,,14,ARIZ,296823,Pericome,caudata,,,1990,,,,,yes,0.913,,
48,,15,ARIZ,318047,Perityle,gentryi,,,1995,,,,,yes,2.4,,looks different
65,,17,Edinburgh,E00230548,Perityle,emoryi,,,,,,,,yes,0.55,,
69,,19,UCR,131895,Perityle,ambrosiifolia,,,1998,,,,,yes,0.65,,
41,,26,UC,1616144,Perityle,cordifolia,,,1992,,,,,no,,,
76,,31,UCR,75850,perityle,gentryi,,,1992,,,,,no,,,
14,,39,UC,1223887,Perityle,incana,,,1963,10/5/2016,21.2,1.35,ok,no,,,
62,,60,ARIZ,392939,Perityle,lobata,,,2004,,,,,yes,,,
73,,64,UCR,29770,Perityle,aurea,,,1981,,,,,no,,,
9,,67,UC,1195975,Perityle,cuneata,marginata,,1958,10/5/2016,5.3,1.64,not good,yes,0.136,2/24,
10,,68,UC,1417495,Perityle,angustifolia,,,1976,10/5/2016,3.3,5.27,ok,yes,0.381,2/24,
17,,69,UC,1440549,Perityle,quinquefolia,,,1967,10/5/2016,2.4,10.5,not good,yes,0.206,2/24,
70,,70,UCR,21149,Perityle,cochisensis,,,1974?,,,,,no,,,
74,,71,UCR,84423,Perityle,crassifolia,,,1991,,,,,no,0.107,2/24,
96,,95,UTH,450757,Perityle,harkerae,,,2010,,,,,,,,
72,,,UCR,73057,Perityle,cernua,,,1992,,,,,no,,,
71,,,UCR,138793,Perityle,gilensis,,,1993,,,,,no,,,
81,,,CAS,420809,Perityle,Jaliscana,,,1908,,,,,,,,
2,,,JEPS,12378,Perityle,megalocephala,oligophylla,,2007,,,,,yes,,,
4,,,JEPS,89370,Perityle,megalocephala,megalocephala,,1978,,,,,yes,,,
5,,,UC,1561684,Amauria,rotundifolia,,,1989,,,,,yes,,,
26,,,BW310_PerityleL,,,,,,,,,,,,,,
27,,,BW32_a.rotundifolia,,,,,,,,,,,,,,
28,,,BW957_P.M,,,,,,,,,,,,,,
29,,,BWP62_P.,,,,,,,,,,,,,,
30,,,BGB917_Pemoryi,,,,,,,,,,,,,,
44,1,1,UC,1765926,Perityle,leptoglossa,,UC_1765926_Perityle_leptoglossa,1987,,,,,yes,43.6,,
7,2,2,UC,1787616,Perityle,californica,,UC_1787616_Perityle_californica,2001,10/5/2016,1,-0.017,good,yes,0.582,,
12,3,3,UC,1391720,Perityle,angustifolia,,UC_1391720_Perityle_angustifolia,1967,10/5/2016,7.3,1.94,good,yes,2.19,,
13,4,4,UC,1116153,Perityle,cuneata,?,UC_1116153_Perityle_cuneata,1958,10/5/2016,4.7,2.42,ok,yes,1.1,,
16,5,5,UC,1391483,Perityle,cinerea,,UC_1391483_Perityle_cinerea,1961,10/5/2016,4.4,2.48,good,yes,2.07,,
86,6,6,CAS,1073859,Perityle,dissecta,,CAS_1073859_Perityle_dissecta,2004,,,,,,,,
21,7,7,UC,1608506,Perityle,coronopifolia,,UC_1608506_Perityle_coronopifolia,1986,10/5/2016,9.6,1.3,good,yes,3.88,,
22,8,8,UC,1523877,Perityle,ciliata,,UC_1523877_Perityle_ciliata,1985,10/5/2016,4.6,1.17,good,yes,0.807,,
23,9,9,UC,1412751,Perityle,bisetosa,,UC_1412751_Perityle_bisetosa,1967,10/5/2016,10.2,1.37,good,yes,4.83,,
25,10,10,UC,697246,Perityle,inyoensis,,UC_697246_Perityle_inyoensis,1942,10/5/2016,8.6,1.8,good,yes,3.88,,
33,11,11,UC,1582885,Perityle,"gracilis",,"UC_1582885_Perityle_gracilis",1979,,,,,yes,1.22,,
34,12,12,UC,709590,Perityle,lemmonii,,UC_709590_Perityle_lemmonii,1935,,,,,yes,3.85,,
39,13,13,UC,1787460,Perityle,incompta,,UC_1787460_Perityle_incompta,2003,,,,,yes,1.01,,
51,16,16,ARIZ,364850,Perityle,cochisensis,,ARIZ_364850_Perityle_cochisensis,2002,,,,,yes,1.39,,
106,17,17,SDSNH,79244,Lycapsus,tenuifolius,,SDSNH_79244_Lycapsus_tenuifolius,1970,,,,,,,,
63,18,18,ARIZ,294925,Perityle,gilensis,,ARIZ_294925_Perityle_gilensis,1992,,,,,yes,4.62,,
87,19,19,CAS,884918,Perityle,vitreomontana,in limestone,CAS_884918_Perityle_vitreomontana,1978,,,,,,,,
75,20,20,UCR,59009,Perityle,incana,,UCR_59009_Perityle_incana,1970,,,,,yes,0.706,,n=50-57 gigantic plant -- polyploid from Guadalupe Island MX
31,21,21,UC,1326735,Perityle,aglossa,,UC_1326735_Perityle_aglossa,1967,,,,,,1.77,2/24,
